Sr No, Blood Bank Name, State,District, City,Population,Donors,A+,A-,B+,B-,AB+,AB-,O+,O-,Boold Unit(ltr), Address,Pincode, Mobile, Email, Category, Blood Component Available, Service Time
101,Indian Red Cross Society (IRCS) Blood Bank,Andhra Pradesh,Srikakulam,Srikakulam,102523,10598,1420,1869,1931,369,480,1475,1768,1286,1938,"D.No. 8-5-2/A, Opposite to Bapuji Kalamandir, Srikakulam


",320236,6445101710,secretary.redcrosssklm@gmail.com,Government,YES,24x7
102,District Hospital,Andhra Pradesh,Visakhapatnam,Anakapalli,103969,7955,1738,1519,1368,884,429,277,886,854,4596,AH- ANAKAPALLI,335560,6247581907,bloodbank.ahakp@gmail.com,Government,YES,24x7
103,M/s. NTR Area Hospital Blood Bank,Andhra Pradesh,Visakhapatnam,Anakapalli,91311,9626,1289,764,550,928,916,1856,1726,1597,313,"APVVP Hospital Premises, Anakapalli, Visakhapatnam 
",497867,6863065212,bloodbank.ahakp@gmail.com,Charity,YES,24x7
104,M/s. Visakha Steel General Hospital Blood Bank,Andhra Pradesh,Visakhapatnam,Gajuwaka,144477,7773,1840,1650,559,508,104,178,1097,1837,1366,"Ukkunagaram, Steel Plant, Visakhapatnam",437425,9380949733,NA,Charity,NO,24x7
105,M/s. INHS Kalyani Blood Bank,Andhra Pradesh,Visakhapatnam,Gajuwaka,19816,8060,413,219,1949,1160,1138,374,827,1980,3605,"INHS Kalyani Hospital, Gandhigram (PO), Visakhapatnam",305202,6649549510,,Private,YES,24x7
106,M/s. Anil Neerukonda Hospital  Blood Bank,Andhra Pradesh,Visakhapatnam,Sangivalasa,92514,7600,538,695,1021,791,1753,515,464,1823,407,"Sangivalasa, Bheemunipatnam (M), Visakhapatnam District
",413369,9138607658,nriims@gmail.com,Government,YES,12x7
107,M/s. King George Hospital (KGH) Blood Bank ,Andhra Pradesh,Visakhapatnam,Visakhapatnam,16159,10982,1889,604,1365,1163,1437,1642,1466,1416,1379,"King George Hospital, Maharanipeta, Visakhapatnam",269014,7404447915,kgh_vsp@ap.nic.in,Government,NO,24x7
108,M/s. Government Victoria Hospital Blood Bank,Andhra Pradesh,Visakhapatnam,Visakhapatnam,209901,10950,1596,1913,1794,338,1590,1005,1507,1207,3063,"Women & Children Hospital Blood Bank, Visakhapatnam",340762,8977439321,"VGHBLOODBANK@gmail.com, supdtvgh@gmail.com",Private,NO,24x7
109,M/s. Indian Red Cross Society Blood Bank ,Andhra Pradesh,Visakhapatnam,Visakhapatnam,37372,10043,1741,941,1635,779,1108,1534,395,1910,1466,"D.No:14-35-4, Behind Collecorate, Z..P. Junction, Maharanipeta, Visakhapatnam
",205094,7326294432,secretaryvspredcross@gmail.com,Charity,YES,24x7
110,M/s. Rotary Blood Bank (Vishaka Port City Rotary Charitable Trust),Andhra Pradesh,Visakhapatnam,Visakhapatnam,47765,4446,333,321,226,880,257,531,1499,399,434,"D.No: 13-26-2/54, 3rd Floor, Apuroopa Arcade, Near Jagadamba Junction, Maharanipeta, Vishakapatnam
",484991,6368082639,rotarybloodbankvsp@gmail.com,Government,YES,24x7
111,M/s. Apollo Hospital Heart & Kidney Centre Blood Bank,Andhra Pradesh,Visakhapatnam,Visakhapatnam ,235088,8406,1410,1126,1239,1492,1022,1182,579,356,3513,"D.No.10-50-80, 1st Floor, Apollo Hospital, Waltair Main Road, Visakhapatnam. 
",445004,6950513546,Jhansilaxmi-a@apollohospital.com,Charity,YES,24x7
112,M/s. Seven Hills Hospital Blood Bank,Andhra Pradesh,Visakhapatnam,Visakhapatnam,244065,4066,335,660,383,77,1025,362,629,595,3341,"D.No.11-4-4/A, 5th Floor, Rock Dale Layout, Waltair MainRoad, Visakhapatnam
",460813,6686953182,NA,Private,YES,24x7
113, A. S. Raja Voluntary Blood Bank,Andhra Pradesh,Visakhapatnam,Visakhapatnam ,88656,11335,1403,1296,1731,1469,1702,1797,407,1530,2082,"D.No. 10-50-11/5, Ground Floor, 1st, 2nd and 3rd Floor, Beside CARE Hospital, Waltair Main Road, Ramnagar, Visakhapatnam
",297861,8941793473,asrajavbloodbank@gmail.com,Government,NO,12x7
114,M/s. Lions Club of Visakhapatnam Blod Bank Trust  ,Andhra Pradesh,Visakhapatnam,Visakhapatnam,259512,8627,1240,1948,1665,400,1903,841,130,500,3767,"D. No.10-54-7, Lions Community Hall, Ram Nagar, Visakhapatnam
",247428,9358958600,lionsbloodbankvsp@gmail.com,Charity,NO,24x7
115,M/s. N.T.R. Memorial Trust Blood Bank ,Andhra Pradesh,Visakhapatnam,Visakhapatnam,173047,8438,1734,1354,1968,1137,688,1368,138,51,4150,"P. No. 15B-3-1, Block No. 56, Waltair Main Road, Ramnagar, Visakhapatnam
",277882,6581585034,NA,Government,NO,24x7
116,M/s. Gitam Institute of Medical Sciences and Research Blood Bank ,Andhra Pradesh,Visakhapatnam,Visakhapatnam ,205508,6816,552,1047,29,1911,1266,19,743,1249,4051,"D.No.5-168, Ward No.6, Gitam University, Rushikonda, Visakhapatnam
",381280,6932033396,directorgims@gitam.edu,Government,YES,24x7
117,M/s. Gayatri Vidya Parishad Institute of Health Care and Medical Technology,Andhra Pradesh,Visakhapatnam,Visakhapatnam ,28655,6135,922,252,219,326,812,669,1558,1377,4221,"D. No.6-25, Maridi Valley, Marikavalasa, Madhurawada, Vishakapatnam
",507220,8262664639,gvphospital@gmail.com,Government,YES,24x7
118,"Indian Red Cross Society Blood Bank, RCH-II",Andhra Pradesh,Vizianagaram,Parvathipuram,142429,9277,396,1496,795,942,1514,1753,892,1489,4637,"Area Hospital Premises, First Floor, Belagam, Parvathipuram
",436330,7095177709,NA,Charity,YES,24x7
119,District Headquarters Hospital Blood Bank,Andhra Pradesh,Vizianagaram,Vizianagaram,138700,4172,853,1680,97,156,443,154,298,491,4209,"District Headquarters Hospital, Cantonment, Vizianagaram ",399051,6718677611,bloodbankdhvzm@gmail.com,Charity,NO,24x7
120,Indian Red Cross Society Blood Bank,Andhra Pradesh,Vizianagaram,Vizianagaram,235486,5606,882,752,475,113,1204,256,785,1139,4356,"D.No. 71/82, Near Ganesh Temple, Cantonment,  Vizianagaram",341209,8266534080,"secretaryredcrossvizianagaram@gmail.com,",Private,YES,24x7
121,Srinivasa Nursing Home Blood Bank ,Andhra Pradesh,Vizianagaram,Vizianagaram,176890,6591,469,1773,641,132,1320,1571,677,8,957,"Ground Floor, Plot No. 06, Arundati Nagar, Opposite to Goods Shed, Cantonment, Vizianagaram",493935,6331919267,,Government,YES,12x7
122,Maharaja Institute of Medical Sciences Blood Bank,Andhra Pradesh,Vizianagaram,Vizianagaram,188905,8915,550,239,1612,229,989,1444,1893,1959,4150,"D.No. 31-15, Nellimarla, Vizianagaram",400863,8126405089,,Government,NO,24x7
123,ASN Raju Charitable Trust Blood Bank,Andhra Pradesh,West Godavari,Bhimavaram,64852,10493,1815,1797,1781,1734,598,460,1939,369,3886,"D.No. 24-1-1, R.K. Plaza (Sarovar complex), J. P. Raod, Bhimavaram
",205841,8410285838,NA,Private,NO,24x7
124,Uddaraju Anandaraju Foundation Blood Bank,Andhra Pradesh,West Godavari,Bhimavaram,112616,7901,1778,288,1786,1186,95,1539,674,555,1208,"D.No. 27-8-21/2, Sivaraopet, Bhimavaram",316771,8059242313,anandabloodbank@gmail.com,Charity,YES,24x7
125,M/s. Government Headquarters Hospital Blood Bank,Andhra Pradesh,West Godavari,Eluru,60323,6412,1014,871,752,161,1109,1409,524,572,3308,"Government Headquarters Hospital, Ground Floor, R.R. Peta, Eluru, West Godavari",403402,8802438813,wgbloodbank@gmail.com,Government,YES,24x7
126,M/s. Indian Red Cross Society Component Blood Bank,Andhra Pradesh,West Godavari,Eluru,140375,7036,472,1261,1279,711,458,623,1143,1089,1590," General Hospital Premises, Eluru, West Godavai
",250433,7476582929,redcrosseluru@gmail.com,Charity,YES,24x7
127,M/s. Alluri Sitrarama Raju Academy of Medical Sciences Blood Bank,Andhra Pradesh,West Godavari,Eluru,155053,7229,144,1102,1653,1668,796,319,662,885,1206,"Ground Floor, Hospital Block, NH 5 Eluru, West Godavari 
",409900,9212534506,asrams@yahoo.com,Private,YES,24x7
128,M/s. Good Samaritan Blood Bank,Andhra Pradesh,West Godavari,Eluru,41692,6592,1147,1769,798,487,106,253,1354,678,3812,"D.No.13-1, Good Samaritan Cancer and General Hospital, Vangayagudem, Eluru, West Godavari
",252221,6337945320,samaritaneluru@gmail.com,Government,NO,12x7
129,M/s. Indian Red Cross Society Blood Bank jangareddi gudem,Andhra Pradesh,West Godavari,Jangareddygudem,232526,9620,1850,215,1453,1124,306,1848,1536,1288,4686,"Government Hospital Premises, Jangareddygudem",456481,9678822955,Bloodbankahjrg@gmail.com,Charity,NO,24x7
130,Indian Red Cross Society Blood Bank narasapuram,Andhra Pradesh,West Godavari,Narasapuram,18113,10925,1020,742,1607,1047,848,1840,1999,1822,4682,"C/o. Community Healthcare Center, Narsapuram",460196,6879825534,harshasatish555@gmail.com,Government,NO,24x7
131,Palakol Voluntary Blood Bank,Andhra Pradesh,West Godavari,Palakol,47324,6436,905,655,1455,290,982,305,570,1274,3440,"D.No. 47-1-12/2C, 1st floor, Beside Chamber of Commerce Building, Srinivasa Deluxe, Palakol
",352765,7201891819,palakolvoluntarybloodbank@gmail.com,Government,YES,24x7
132,Indian Red Cross Society Blood Bank Tanuku  (Repeated),Andhra Pradesh,West Godavari,Tanuku,53282,7465,721,497,1652,1096,1583,845,68,1003,2132,"IRCS Sub Branch Doorno 27-14-9, Dodipatlavari Street, 
Tanuku, West Godavari District ",492057,9043931791,wgbloodbank@gmail.com,Government,YES,24x7
133,Dr. Mulla Pudi Harischandra Prasad Red Cross Blood Bank,Andhra Pradesh,West Godavari,Tanuku,184785,8530,1614,1116,113,1487,1965,838,872,525,4554,"D.No.27-14-9, Doddipatla Vari Street, Tanuku.",447633,6700793190,ircs.tanuku@gmail.com,Charity,YES,24x7
134,Sri Buddala Narasimhamurty Voluntary Blood Bank,Andhra Pradesh,West Godavari,Tanuku,84223,5354,896,305,238,593,603,180,907,1632,362,"D.No.34-4/5, Ground Floor, Supriya Towers, Tanuku
",436350,6484685117,nanibuddala@gmail.com,Charity,NO,24x7
135,Rajiv Gandhi Institute of Medical Sciences Blood Bank,Andhra Pradesh,Y.S.R. (Kadapa),Kadapa,114071,8232,643,615,1936,918,538,1113,1930,539,852,"Blood Bank Medical Officer, O.P. Block Ground Floor, Blood Bank, RIMS General Hospital,Puttlampalli, Kadapa ( RIMS, Kadapa).",463584,9343164654,"kadapabb@gmail.com balakrishna9999.1914@rediffmail.com, sgr2k2@gmail.com",Private,YES,24x7
136,"Indian Red Cross Society, Blood Bank",Andhra Pradesh,Y.S.R. (Kadapa),KADAPA,159455,6894,675,356,1449,153,956,562,821,1922,2175,"D.No. 10-971, Opposite to Mattipedda Puli, Trunk Road, Kadapa
",231818,7423246223,ircskadapa@gmail.com,Government,YES,12x7
137,Boga Parvathamma Blood Bank ,Andhra Pradesh,Y.S.R. (Kadapa),Kadapa,219498,7172,52,393,1749,842,1992,1060,247,837,1929,"A unit of boga parvathamma memorial blood donation service organization,
d.no:7-137, second floor, jayanagar colony , Kadapa
  ",307280,8583208790,bogaparvathamma@yahoo.com,Government,NO,24x7
138,Rajiv Gandhi Institute of Medical Sciences Blood Bank ,Andhra Pradesh,Y.S.R. (Kadapa),Kadapa,45501,5225,89,1887,447,857,95,462,986,402,3843,"RIIMS General Hospital ,Ground Floor, Putlam Palli Kadapa",464318,6581032794,,Private,NO,24x7
139,Fathima Institute of Medical Sciences Blood Bank,Andhra Pradesh,Y.S.R. (Kadapa),Kadapa,168576,5847,870,276,580,942,935,312,281,1651,617,"Ramarajupalli, Pulivendula Road Kadapa",344879,8202595056,,Charity,YES,24x7
140,District Hospital Blood Bank ,Andhra Pradesh,Y.S.R. (Kadapa),PRODDATUR,210380,8865,594,1358,1648,1653,1631,1564,145,272,1081,"APVVP, Gavini Circle, Yerraguntla Bypass Road, Proddatur",379895,7886804639,"mobb.pdtr@gmail.com,",Government,YES,24x7
141,A.P Vaidyavidhanaparishad Area Hospital Blood Bank,Andhra Pradesh,Y.S.R. (Kadapa),Proddatur,123204,7327,1546,801,1442,476,393,1478,1024,167,4577,"Proddatur, YSR",435340,7156397109,,Charity,YES,24x7
142,A.P. Vaidyavidhanaparishad Area Hospital - IRCS Blood Bank ,Andhra Pradesh,Y.S.R. (Kadapa),Pulivendula,144452,7991,1899,1433,1647,344,1738,129,86,715,3470,"Ground Floor, Muddanuru Road, Pulivendula",287279,7614834770,pulivendulabb2007@gmail.com harishkumar.kvr@gmail.com,Private,YES,24x7
143,Changlang District Hospital Blood Bank,Arunachal Pradesh,Changlang,Changlang,75745,6588,1108,364,1128,252,1704,449,769,814,3326,"District Hospital, Changlang District, Arunachal Pradesh",207513,9665138786,minsingngemu@gmail.com,Government,NO,12x7
144,Pasighat General Hospital Blood Bank,Arunachal Pradesh,East Siang,Pasighat,255094,8329,1735,388,1632,211,926,807,1345,1285,4301,"General Hospital, Pasighat,  Jt. DHS (T&R), High Region, Near NH 52. ",448858,8104073317,gjonkey@gmail.com,Charity,NO,24x7
145,Lohit District Hospital Blood Bank,Arunachal Pradesh,Lohit,Tezu,249800,9368,1296,642,1312,306,1931,99,1863,1919,3052,"District Hospital Tezu, Lohit District, Arunachal Pradesh",407313,6934061981,dmolohit@gmail.com,Government,NO,24x7
146,General Hospital Ziro  Blood Bank,Arunachal Pradesh,Lower Subansiri,Ziro,147810,7431,1597,20,1238,524,1074,623,416,1939,1014,"General Hospital Ziro, Lower Subansiri
 
",219944,7758665567,bloodbankziro@gmail.com,Government,YES,24x7
147,Ramakrishna Mission Hospital Blood bank,Arunachal Pradesh,Papum Pare,Itanagar,30177,5899,219,1202,1225,566,491,576,1458,162,1382,"Ramakrishna Mission Hospital 
P.O. Ramakrishna Mission
Itanagar,
",360822,9013505818,rkmitanagar@gmail.com,Government,YES,24x7
148,Arunachal State Hospital Blood Bank,Arunachal Pradesh,Papum Pare,Naharlagun,58795,9385,639,1915,471,1661,1706,763,636,1594,3454,"Arunachal State Hospital / General Hospital, NH 52A, Lumer Dai Road",437745,9441339987,neharlagumbloodbank@gmail.com,Charity,YES,24x7
149,Tawang District Hospital Blood Bank,Arunachal Pradesh,Tawang,Tawang,219848,7913,2000,988,1583,439,1022,714,28,1139,1481,"District Hospital, Tawang District , Arunachal Pradesh",373549,7249214333,tengyal2233@gmail.com,Charity,NO,24x7
150,Tawang District Hospital Blood Bank ,Arunachal Pradesh,Tawang,Tawang,104065,9836,1828,346,119,1640,901,1326,1799,1877,3402,"Bomdila,Tawang",357478,7140346155,,Private,YES,24x7
151,District Hospital Blood Bank,Arunachal Pradesh,Upper Siang,Upper Siang,52772,5144,892,177,1381,1103,527,330,397,337,1548,"Roing,Tezu, Upper Siang",389710,8255004181,,Government,YES,12x7
152,Upper Siang District Hospital Blood Bank,Arunachal Pradesh,Upper Siang,Yingkiong,196634,7709,913,909,1678,669,1880,1002,162,496,2101,"District Hospital, Yingkiong, Upper Siang District, 
Arunachal Pradesh.",463171,6687048064,dmoykggmail.com,Government,NO,24x7
153,Upper Subansiri District Hospital Blood Bank,Arunachal Pradesh,Upper Subansiri,Daporijo,181488,9401,1237,1797,1728,15,951,720,1820,1133,1747,"District Hospital Daporijo, Upper Subansiri District, 
Arunachal Pradesh",258503,8233623125,drbininirin@gmail.com,Private,NO,24x7
154,West Siang District Hospital Blood Bank,Arunachal Pradesh,West Siang,Aalo,26831,7135,931,1306,1848,50,770,978,446,806,2431,"District Hospital, Medical Complex, Aalo",454659,6424646738,yatugee@gmail.com,Charity,YES,24x7
155,Fakhruddin Ali Ahmed (FAA) Medical College Hospital Blood Bank,Assam,Barpeta,Barpeta,106347,10657,1093,1973,1170,883,1463,1653,1305,1117,4065,"Ground Floor  Fakhruddin Ali Ahmed Medical College, Jotigaon, Jania Road.
Opposite to Chaulkhowa River ",256222,9101063924,bloodbankfaamc5@gmail.com,Government,YES,24x7
156,Bongaigaon Civil Hospital Blood Bank,Assam,Bongaigaon,Bongaigaon,172592,11044,1636,1506,1261,1180,861,1291,1878,1431,3082,"Main Road, Mayapuri,Bongaigaon",235570,6683815106,bloodbank.bongaigaon@gmail.com,Charity,YES,24x7
157,Lower Assam Hospital Blood Bank,Assam,Bongaigaon,Bongaigaon,183892,9088,882,318,958,1867,1425,1753,753,1132,3566,"Chapaguri Road, North Bongaigaon",324232,8001552157,"lowerassamhospital@yahoo.in, nmandal979@gmail.com",Private,YES,24x7
158,Silchar Medical College and Hospital Blood Bank,Assam,Cachar,Silchar,196123,7373,494,1895,1015,919,1274,735,889,152,771,"Krishnapur Medical Road, Ghungoor, Silchar
",325239,7585225298,bloodbanksmch@gmail.com,Government,NO,24x7
159,Indian Red Cross Children Hospital Blood Bank,Assam,Cachar,Silchar,73104,8933,1085,1583,951,774,1200,1159,801,1380,3536,"Indian Red Cross Children Hospital, Tarapur, Silchar",220830,7355794644,ircs.silchar@yahoo.com,Charity,NO,12x7
160,Barak Blood Bank and Clinical Research Centre,Assam,Cachar,Silchar,74438,7701,1075,1520,250,1503,268,1599,739,747,4592,"Central Rd, Tarapur, Kanakpur Part-II",453993,7378403548,prdpnk@rediffmail.com,Government,NO,24x7
161,Bongaigaon Refinery (BRPL) Hospital Blood Bank ,Assam,Chirang,Dhaligaon,179993,4277,569,312,352,56,713,307,640,1328,2598,"BRPL Refinery, iocl/bgr township",251164,9184567014,dr_dk_das@indianoil.in,Government,YES,24x7
162,Mangaldoi Civil Hospital Blood Bank,Assam,Darrang,Mangaldoi,230889,10132,1819,126,1728,1160,1851,1108,666,1674,4433,"Mangaldoi Civil Hospital, NH 52, Mangaldoi, Darrang",412672,7680346353,bloodbank.mangaldoi@gmail.com,Government,YES,24x7
163,Dhemaji Civil Hospital Blood Bank,Assam,Dhemaji,Dhemaji,248595,8433,1502,1910,304,1200,1709,795,741,272,3389,"Ward No:9, Lachit Nagar, Natun Nagar Rd",239931,9692378384,bloodbank.dhemaji@gmail.com,Charity,YES,24x7
164,Dhubri Civil Hospital Blood Bank,Assam,Dhubri,Dhubri,254852,8828,196,1127,1025,1762,1302,1884,1491,41,1791,"Jhagrarpar, Dhubri",335018,9915426185,bloodbank.dhubri@gmail.com,Charity,NO,24x7
165,Assam Medical College and Hospital Blood Bank,Assam,Dibrugarh,Dibrugarh,51239,8434,1076,74,1269,1270,1352,1866,68,1459,460,"Barbari, Dibrugarh",202621,7117844514,dbr.bloodbankamch@gmail.com,Private,YES,24x7
166,Dr. Damani&#39;s Nursing Home Blood Bank,Assam,Dibrugarh,Dibrugarh,193074,5199,1010,313,414,462,277,603,1387,733,2278,"L.G.B. Avenue, Near Circuit House",228881,7658771967,damani_medicos@rediffmail.com,Government,YES,24x7
167,Aditya Diagnostic Hospital Blood Bank,Assam,Dibrugarh,Dibrugarh,10286,8703,1606,1675,140,186,266,1291,1833,1706,1451,"Bordoloi Avenue, Dibrugarh",297452,6750527686,adityahospitalsdib@gmail.com,Government,NO,12x7
168,Sri Manta Sankardeva Hospital and Research Centre Blood Bank,Assam,Dibrugarh,Dibrugarh,90375,8008,551,1943,601,802,1173,1641,41,1256,4022,"Chowkindinge, Mancotta Road",325048,7976413984,sshridibrugarh@yahoo.com,Private,NO,24x7
169,Dirial Central Hospital Blood Bank,Assam,Dibrugarh,Dibrugarh,175525,6019,517,914,188,1250,73,210,1251,1616,2632,"Diral Tea estate, Hoogrijan",436766,9240716816,"muninsharma1@rediffmail.com, rishavacks@gmail.com",Charity,YES,24x7
170,Oil India Limited Hospital Blood Bank,Assam,Dibrugarh,Duliajan,107460,8535,818,746,1276,464,1216,1612,1387,1016,1426,"Oil Hospital, Duliajan",426261,8558088822,"malamani@oilindia.in, malamani123@yahoo.com",Government,YES,24x7
171,Haflong Civil Hospital Blood Bank ,Assam,Dima Hasao,Haflong,118589,9543,1837,1774,1463,1586,728,399,770,986,3600,"NH 54, Songpijaang, Haflong",306252,6692383531,haflongbloodbank@gmail.com,Charity,YES,24x7
172,Goalpara Civil Hospital Blood Bank,Assam,Goalpara,Goalpara,76755,9052,813,1326,1968,751,312,1842,142,1898,1701,"Agia Road, Goalpara",465654,8656089272,bloodbank.golpara@gmail.com,Private,YES,24x7
173,Solace Hospital and Research centre Pvt.Ltd Blood bank,Assam,Goalpara,Goalpara,191478,8213,562,1408,1262,976,1136,1274,1327,268,2696,"BOC Agia Road Road, P.O. Baladmari
Opposite to Assam Oil Petrol Pump",502067,8171963495,solacehospital@aol.in,Government,NO,24x7
174,Kushal Konwar (KK) Civil Hospital Blood Bank,Assam,Golaghat,Golaghai town,40125,6456,537,406,157,1765,188,1732,618,1053,465,"Abita Building, 1st floor,  Golaghat Near stataion Rd
",414508,9400083281,bloodbank.golaghai@gmail.com,Charity,NO,12x7
175,Vivekananda Kendra NRL Hospital Blood Bank,Assam,Golaghat,Golaghat,46803,9067,31,1032,1930,454,1137,1818,1406,1259,3574,"NRL Township, Numaligarh Refinery Complex",384221,9890380362,"vknrl.hospital@gmail.com, barnali.deuri@nrl.co.in",Government,NO,24x7
176,S. K. Roy Civil Hospital Blood Bank ,Assam,Hailakandi,Hailakandi,157296,7893,835,74,271,1141,1713,439,1596,1824,2786,"Hailakandi Civil Hospital, NH 154, Bashdahar, Hailakandi",312245,6236184439,bloodbank.hailakandi@gmail.com,Government,YES,24x7
177,Jorhat Medical College and Hospital Blood Bank ,Assam,Jorhat,Jorhat,206402,10342,1591,1840,1026,940,1311,177,1848,1609,2314,"Telemedicine Department, KB Road, Kushal Nagar, Tarajan",226343,7378799617,bloodbank.jmch.jorhat@gmail.com,Government,YES,24x7
178,Air Force Hospital Blood Bank,Assam,Jorhat,Jorhat,156218,8918,768,521,1635,1969,1608,814,484,1119,3175,"Air Force station, Jorhat, 5, C/O 99 APO",453551,6756240540,drsunipat@gmail.com,Charity,YES,24x7
179,Greater Jorhat Lions Blood Bank,Assam,Jorhat,Jorhat,25257,7759,1960,314,734,1041,261,1342,1337,770,2389,"Lions Multiple Service Centre, Sonali Jayanti Nagar",337893,8298926358,"chutiabipul@gmail.com, dranimesh@yahoo.com",Charity,NO,24x7
180,Mahendra Mohan Choudhury (MMC) Hospital  Blood Bank,Assam,Kamrup,Guwahati,183441,7731,1933,1451,909,606,1146,1123,258,305,4236,"Panbazar, Guwahati",307724,9941124937,bloodbankmmchguwahati@gmail.com,Private,YES,24x7
